Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Afghanistan,33.93911,67.709953,1/22/2020,0,0,0,0,Eastern Mediterranean
South Korea,35.907757,127.766922,4/14/2020,10564,222,7534,2808,Western Pacific
Kuwait,29.31166,47.481766,4/14/2020,1355,3,176,1176,Eastern Mediterranean
Kyrgyzstan,41.20438,74.766098,4/14/2020,430,5,71,354,Europe
Latvia,56.8796,24.6032,4/14/2020,657,5,16,636,Europe
Lebanon,33.8547,35.8623,4/14/2020,641,21,80,540,Eastern Mediterranean
Liechtenstein,47.14,9.55,4/14/2020,79,1,77,1,Europe
Lithuania,55.1694,23.8813,4/14/2020,1070,29,101,940,Europe
Luxembourg,49.8153,6.1296,4/14/2020,3307,67,500,2740,Europe
Malaysia,4.210484,101.975766,4/14/2020,4987,82,2478,2427,Western Pacific
Maldives,3.2028,73.2207,4/14/2020,20,0,16,4,South-East Asia
Malta,35.9375,14.3754,4/14/2020,393,3,44,346,Europe
Moldova,47.4116,28.3699,4/14/2020,1934,40,134,1760,Europe
Monaco,43.7333,7.4167,4/14/2020,93,1,6,86,Europe
Mongolia,46.8625,103.8467,4/14/2020,30,0,5,25,Western Pacific
Montenegro,42.708678,19.37439,4/14/2020,283,4,46,233,Europe
Morocco,31.7917,-7.0926,4/14/2020,1888,126,217,1545,Eastern Mediterranean
Nepal,28.1667,84.25,4/14/2020,16,0,1,15,South-East Asia
Netherlands,12.5211,-69.9683,4/14/2020,92,0,32,60,Europe
Netherlands,12.1696,-68.99,4/14/2020,14,1,10,3,Europe
Netherlands,18.0425,-63.0548,4/14/2020,52,9,5,38,Europe
Netherlands,52.1326,5.2913,4/14/2020,27419,2945,0,24474,Europe
New Zealand,-40.9006,174.886,4/14/2020,1366,9,628,729,Western Pacific
North Macedonia,41.6086,21.7453,4/14/2020,908,44,86,778,Europe
Norway,60.472,8.4689,4/14/2020,6623,139,32,6452,Europe
Oman,21.512583,55.923255,4/14/2020,813,4,130,679,Eastern Mediterranean
Pakistan,30.3753,69.3451,4/14/2020,6383,111,1446,4826,Eastern Mediterranean
Papua New Guinea,-6.314993,143.95555,4/14/2020,2,0,0,2,Western Pacific
Philippines,12.879721,121.774017,4/14/2020,5223,335,295,4593,Western Pacific
Poland,51.9194,19.1451,4/14/2020,7202,263,618,6321,Europe
Portugal,39.3999,-8.2245,4/14/2020,17448,567,347,16534,Europe
Qatar,25.3548,51.1839,4/14/2020,3428,7,373,3048,Eastern Mediterranean
Romania,45.9432,24.9668,4/14/2020,6879,351,1051,5477,Europe
Russia,61.52401,105.318756,4/14/2020,21102,170,1694,19238,Europe
San Marino,43.9424,12.4578,4/14/2020,371,36,53,282,Europe
Saudi Arabia,23.885942,45.079162,4/14/2020,5369,73,889,4407,Eastern Mediterranean
Serbia,44.0165,21.0059,4/14/2020,4465,94,0,4371,Europe
